😀 1F600 嘿嘿
😃 1F603 哈哈
😄 1F604 大笑
😁 1F601 嘻嘻
😆 1F606 斜眼笑
😅 1F605 苦笑
🤣 1F923 笑得满地打滚
😂 1F602 笑哭了
🙂 1F642 呵呵
🙃 1F643 倒脸
😉 1F609 眨眼
😊 1F60A 羞涩微笑
😇 1F607 微笑天使
🥰 1F970 喜笑颜开
😍 1F60D 花痴
🤩 1F929 好崇拜哦
😘 1F618 飞吻
😗 1F617 亲亲
☺ 263A 微笑
😚 1F61A 羞涩亲亲
😙 1F619 微笑亲亲
🥲 1F972 含泪的笑脸
😋 1F60B 好吃
😛 1F61B 吐舌
😜 1F61C 单眼吐舌
🤪 1F92A 滑稽
😝 1F61D 眯眼吐舌
🤑 1F911 发财
🤗 1F917 抱抱
🤭 1F92D 不说
🤫 1F92B 安静的脸
🤔 1F914 想一想
🤐 1F910 闭嘴
🤨 1F928 挑眉
😐 1F610 冷漠
😑 1F611 无语
😶 1F636 沉默
😏 1F60F 得意
😒 1F612 不高兴
🙄 1F644 翻白眼
😬 1F62C 龇牙咧嘴
🤥 1F925 说谎
😌 1F60C 松了口气
😔 1F614 沉思
😪 1F62A 困
🤤 1F924 流口水
😴 1F634 睡着了
😷 1F637 感冒
🤒 1F912 发烧
🤕 1F915 受伤
🤢 1F922 恶心
🤮 1F92E 呕吐
🤧 1F927 打喷嚏
🥵 1F975 脸发烧
🥶 1F976 冷脸
🥴 1F974 头昏眼花
😵 1F635 晕头转向
🤯 1F92F 爆炸头
🤠 1F920 牛仔帽脸
🥳 1F973 聚会笑脸
🥸 1F978 伪装的脸
😎 1F60E 墨镜笑脸
🤓 1F913 书呆子脸
🧐 1F9D0 带单片眼镜的脸
😕 1F615 困扰
😟 1F61F 担心
🙁 1F641 微微不满
☹ 2639 不满
😮 1F62E 吃惊
😯 1F62F 缄默
😲 1F632 震惊
😳 1F633 脸红
🥺 1F97A 恳求的脸
😦 1F626 啊
😧 1F627 极度痛苦
😨 1F628 害怕
😰 1F630 冷汗
😥 1F625 失望但如释重负
😢 1F622 哭
😭 1F62D 放声大哭
😱 1F631 吓死了
😖 1F616 困惑
😣 1F623 痛苦
😞 1F61E 失望
😓 1F613 汗
😩 1F629 累死了
😫 1F62B 累
🥱 1F971 打呵欠
😤 1F624 傲慢
😡 1F621 怒火中烧
😠 1F620 生气
🤬 1F92C 嘴上有符号的脸
😈 1F608 恶魔微笑
👿 1F47F 生气的恶魔
💀 1F480 头骨
☠ 2620 骷髅
💩 1F4A9 大便
🤡 1F921 小丑脸
👹 1F479 食人魔
👺 1F47A 小妖精
👻 1F47B 鬼
👽 1F47D 外星人
👾 1F47E 外星怪物
🤖 1F916 机器人
😺 1F63A 大笑的猫
😸 1F638 微笑的猫
😹 1F639 笑出眼泪的猫
😻 1F63B 花痴的猫
😼 1F63C 奸笑的猫
😽 1F63D 亲亲猫
🙀 1F640 疲倦的猫
😿 1F63F 哭泣的猫
😾 1F63E 生气的猫
🙈 1F648 非礼勿视
🙉 1F649 非礼勿听
🙊 1F64A 非礼勿言
💋 1F48B 唇印
💌 1F48C 情书
💘 1F498 心中箭了
💝 1F49D 系有缎带的心
💖 1F496 闪亮的心
💗 1F497 搏动的心
💓 1F493 心跳
💞 1F49E 舞动的心
💕 1F495 两颗心
💟 1F49F 心型装饰
❣ 2763 心叹号
💔 1F494 心碎
❤ 2764 红心
🧡 1F9E1 橙心
💛 1F49B 黄心
💚 1F49A 绿心
💙 1F499 蓝心
💜 1F49C 紫心
🤎 1F90E 棕心
🖤 1F5A4 黑心
🤍 1F90D 白心
💯 1F4AF 一百分
💢 1F4A2 怒
💥 1F4A5 爆炸
💫 1F4AB 头晕
💦 1F4A6 汗滴
💨 1F4A8 尾气
🕳 1F573 洞
💣 1F4A3 炸弹
💬 1F4AC 话语气泡
👁‍🗨 1F441 200D 1F5E8 眼睛对话框
🗨 1F5E8 朝左的话语气泡
🗯 1F5EF 愤怒话语气泡
💭 1F4AD 内心活动气泡
💤 1F4A4 睡着
👋 1F44B 挥手
🤚 1F91A 立起的手背
🖐 1F590 手掌
✋ 270B 举起手
🖖 1F596 瓦肯举手礼
👌 1F44C OK
🤌 1F90C 捏手指
🤏 1F90F 捏合的手势
✌ 270C 胜利手势
🤞 1F91E 交叉的手指
🤟 1F91F 爱你的手势
🤘 1F918 摇滚
🤙 1F919 给我打电话
👈 1F448 反手食指向左指
👉 1F449 反手食指向右指
👆 1F446 反手食指向上指
🖕 1F595 竖中指
👇 1F447 反手食指向下指
☝ 261D 食指向上指
👍 1F44D 拇指向上
👎 1F44E 拇指向下
✊ 270A 举起拳头
👊 1F44A 出拳
🤛 1F91B 朝左的拳头
🤜 1F91C 朝右的拳头
👏 1F44F 鼓掌
🙌 1F64C 举双手
👐 1F450 张开双手
🤲 1F932 掌心向上托起
🤝 1F91D 握手
🙏 1F64F 双手合十
✍ 270D 写字
💅 1F485 涂指甲油
🤳 1F933 自拍
💪 1F4AA 肌肉
🦾 1F9BE 机械手臂
🦿 1F9BF 机械腿
🦵 1F9B5 腿
🦶 1F9B6 脚
👂 1F442 耳朵
🦻 1F9BB 戴助听器的耳朵
👃 1F443 鼻子
🧠 1F9E0 脑
🫀 1FAC0 心脏器官
🫁 1FAC1 肺
🦷 1F9B7 牙齿
🦴 1F9B4 骨头
👀 1F440 双眼
👁 1F441 眼睛
👅 1F445 舌头
👄 1F444 嘴
👶 1F476 小宝贝
🧒 1F9D2 儿童
👦 1F466 男孩
👧 1F467 女孩
🧑 1F9D1 成人
👱 1F471 金色头发的人
👨 1F468 男人
🧔 1F9D4 有胡子的人
👨‍🦰 1F468 200D 1F9B0 男人: 红发
👨‍🦱 1F468 200D 1F9B1 男人: 卷发
👨‍🦳 1F468 200D 1F9B3 男人: 白发
👨‍🦲 1F468 200D 1F9B2 男人: 秃顶
👩 1F469 女人
👩‍🦰 1F469 200D 1F9B0 女人: 红发
🧑‍🦰 1F9D1 200D 1F9B0 成人: 红发
👩‍🦱 1F469 200D 1F9B1 女人: 卷发
🧑‍🦱 1F9D1 200D 1F9B1 成人: 卷发
👩‍🦳 1F469 200D 1F9B3 女人: 白发
🧑‍🦳 1F9D1 200D 1F9B3 成人: 白发
👩‍🦲 1F469 200D 1F9B2 女人: 秃顶
🧑‍🦲 1F9D1 200D 1F9B2 成人: 秃顶
👱‍♀ 1F471 200D 2640 金发女
👱‍♂ 1F471 200D 2642 金发男
🧓 1F9D3 老年人
👴 1F474 老爷爷
👵 1F475 老奶奶
🙍 1F64D 皱眉
🙍‍♂ 1F64D 200D 2642 皱眉男
🙍‍♀ 1F64D 200D 2640 皱眉女
🙎 1F64E 撅嘴
🙎‍♂ 1F64E 200D 2642 撅嘴男
🙎‍♀ 1F64E 200D 2640 撅嘴女
🙅 1F645 禁止手势
🙅‍♂ 1F645 200D 2642 禁止手势男
🙅‍♀ 1F645 200D 2640 禁止手势女
🙆 1F646 OK手势
🙆‍♂ 1F646 200D 2642 OK手势男
🙆‍♀ 1F646 200D 2640 OK手势女
💁 1F481 前台
💁‍♂ 1F481 200D 2642 前台男
💁‍♀ 1F481 200D 2640 前台女
🙋 1F64B 举手
🙋‍♂ 1F64B 200D 2642 男生举手
🙋‍♀ 1F64B 200D 2640 女生举手
🧏 1F9CF 失聪者
🧏‍♂ 1F9CF 200D 2642 失聪的男人
🧏‍♀ 1F9CF 200D 2640 失聪的女人
🙇 1F647 鞠躬
🙇‍♂ 1F647 200D 2642 男生鞠躬
🙇‍♀ 1F647 200D 2640 女生鞠躬
🤦 1F926 捂脸
🤦‍♂ 1F926 200D 2642 男生捂脸
🤦‍♀ 1F926 200D 2640 女生捂脸
🤷 1F937 耸肩
🤷‍♂ 1F937 200D 2642 男生耸肩
🤷‍♀ 1F937 200D 2640 女生耸肩
🧑‍⚕ 1F9D1 200D 2695 卫生工作者
👨‍⚕ 1F468 200D 2695 男医生
👩‍⚕ 1F469 200D 2695 女医生
🧑‍🎓 1F9D1 200D 1F393 学生
👨‍🎓 1F468 200D 1F393 男学生
👩‍🎓 1F469 200D 1F393 女学生
🧑‍🏫 1F9D1 200D 1F3EB 老师
👨‍🏫 1F468 200D 1F3EB 男老师
👩‍🏫 1F469 200D 1F3EB 女老师
🧑‍⚖ 1F9D1 200D 2696 法官
👨‍⚖ 1F468 200D 2696 男法官
👩‍⚖ 1F469 200D 2696 女法官
🧑‍🌾 1F9D1 200D 1F33E 农民
👨‍🌾 1F468 200D 1F33E 农夫
👩‍🌾 1F469 200D 1F33E 农妇
🧑‍🍳 1F9D1 200D 1F373 厨师
👨‍🍳 1F468 200D 1F373 男厨师
👩‍🍳 1F469 200D 1F373 女厨师
🧑‍🔧 1F9D1 200D 1F527 技工
👨‍🔧 1F468 200D 1F527 男技工
👩‍🔧 1F469 200D 1F527 女技工
🧑‍🏭 1F9D1 200D 1F3ED 工人
👨‍🏭 1F468 200D 1F3ED 男工人
👩‍🏭 1F469 200D 1F3ED 女工人
🧑‍💼 1F9D1 200D 1F4BC 白领
👨‍💼 1F468 200D 1F4BC 男白领
👩‍💼 1F469 200D 1F4BC 女白领
🧑‍🔬 1F9D1 200D 1F52C 科学家
👨‍🔬 1F468 200D 1F52C 男科学家
👩‍🔬 1F469 200D 1F52C 女科学家
🧑‍💻 1F9D1 200D 1F4BB 程序员
